ID,Project,Website,Collection,Product,Short_Name,Description,Access,Notebook,Format,Category,Start,End,Region,Coordinate,Spatial Resolution,Temporal Resolution,Released,Polygon,Variables,DOI,Theme1,Theme2,Theme3,EO_Missions,Consortium
0,4dHydro,https://e4ftl01.cr.usgs.gov/MOLT/MOD16A2GF.061/,MODIS-TERRA ET,MODIS-TERRA ET,MOD16A2GF v061,MODIS/Terra Net Evapotranspiration Gap-Filled 8-Day L4 Global 500 m SIN Grid,https://e4ftl01.cr.usgs.gov/MOLT/MOD16A2GF.061/,,h5,hr,1-1-2000,31-12-2022,global,wgs84,500m,8d,2021,"[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",evapotranspiration,https://doi.org/10.5067/MODIS/MOD16A2GF.061,land,,,TERRA,UFZRS
1,4dHydro,https://e4ftl01.cr.usgs.gov/MOLA/MYD16A2GF.061/,MODIS-AQUA ET,MODIS-AQUA ET,MYD16A2GF v061,MODIS/Aqua Net Evapotranspiration Gap-Filled 8-Day L4 Global 500 m SIN Grid,https://e4ftl01.cr.usgs.gov/MOLA/MYD16A2GF.061/,,h5,hr,1-1-2002,27-12-2022,global,wgs84,500m,8d,2021,"[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",evapotranspiration,https://doi.org/10.5067/MODIS/MYD16A2GF.061,land,,,AQUA,UFZRS
2,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2001.nc,HOLAPS ET,HOLAPS ET 2001,HOLAPS 2001,2001 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2001.nc,,NetCDF,ancillary,1-1-2001,31-12-2001,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
3,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2002.nc,HOLAPS ET,HOLAPS ET 2002,HOLAPS 2002,2002 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2002.nc,,NetCDF,ancillary,1-1-2002,31-12-2002,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
4,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2003.nc,HOLAPS ET,HOLAPS ET 2003,HOLAPS 2003,2003 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2003.nc,,NetCDF,ancillary,1-1-2003,31-12-2003,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
5,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2004.nc,HOLAPS ET,HOLAPS ET 2004,HOLAPS 2004,2004 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2004.nc,,NetCDF,ancillary,1-1-2004,31-12-2004,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
6,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2005.nc,HOLAPS ET,HOLAPS ET 2005,HOLAPS 2005,2005 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2005.nc,,NetCDF,ancillary,1-1-2005,31-12-2005,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
7,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2006.nc,HOLAPS ET,HOLAPS ET 2001,HOLAPS 2006,2006 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2006.nc,,NetCDF,ancillary,1-1-2006,31-12-2006,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
8,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2007.nc,HOLAPS ET,HOLAPS ET 2007,HOLAPS 2007,2007 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2007.nc,,NetCDF,ancillary,1-1-2007,31-12-2007,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
9,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2008.nc,HOLAPS ET,HOLAPS ET 2008,HOLAPS 2008,2008 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2008.nc,,NetCDF,ancillary,1-1-2008,31-12-2008,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
10,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2009.nc,HOLAPS ET,HOLAPS ET 2009,HOLAPS 2009,2009 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2009.nc,,NetCDF,ancillary,1-1-2009,31-12-2009,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
11,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2010.nc,HOLAPS ET,HOLAPS ET 2010,HOLAPS 2010,2010 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2010.nc,,NetCDF,ancillary,1-1-2010,31-12-2010,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
12,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2011.nc,HOLAPS ET,HOLAPS ET 2010,HOLAPS 2011,2011 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2011.nc,,NetCDF,ancillary,1-1-2011,31-12-2011,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
13,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2012.nc,HOLAPS ET,HOLAPS ET 2012,HOLAPS 2012,2012 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2012.nc,,NetCDF,ancillary,1-1-2012,31-12-2012,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
14,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2013.nc,HOLAPS ET,HOLAPS ET 2013,HOLAPS 2013,2013 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2013.nc,,NetCDF,ancillary,1-1-2013,31-12-2013,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
15,4dHydro,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2014.nc,HOLAPS ET,HOLAPS ET 2014,HOLAPS 2014,2014 HOLAPS Evapotranspiration Daily over Europe at 5km grid,https://minio.ufz.de/4dhydro/RS/HOLAPS/ET-holaps-2014.nc,,NetCDF,ancillary,1-1-2014,31-12-2014,Europe,wgs84,5km,d,2023,"[[[-20,30],[50,30],[50,60],[-20,60],[-20,30]]]",evapotranspiration,to be added,land,,,,UFZRS
